"ChemicalID";"Inchi_Key";"Canonical_Smiles";FDA_Approved
"2-(4-morpholinylcarbonyl)-1H-indole";"AAKBKSANSMEPRC-UHFFFAOYSA-N";"O=C(N1CCOCC1)c2cc3ccccc3[nH]2";0
"CHEMBL3233562";"AAKIUXAGDURVCO-NSHDSACASA-N";"O=C(CNC(=O)C1CCNCC1)N2CCC[C@H]2C#N";0
"Erlotinib";"AAKJLRGGTJKAMG-UHFFFAOYSA-N";"COCCOc1cc2ncnc(Nc3cccc(c3)C#C)c2cc1OCCOC";1
"CHEMBL232828";"AAKKTJVHZGBWLJ-AKOOALSVSA-N";"CN(C)c1ccc(cc1)[C@H]2C[C@@]3(C)[C@@H](CC[C@@]3(O)C#Cc4ccncc4)[C@@H]5OCC6=CC(=O)CCC6=C25";0
"CHEMBL1668271";"AAKOOCDMPALFJX-UHFFFAOYSA-N";"Cc1cc(C(=O)Nc2ccc(C)nc2)c3nc(C)nc(N)c3c1";0
"MLS001003216";"AAKOYCVQAYQRIG-JFLMPSFJSA-N";"OC(=O)c1ccc(\C=N\NC(=O)c2ccc(CN3c4cccc5cccc(c45)S3(=O)=O)cc2)cc1";0
"CHEMBL3290124";"AAKPXOAXEDWFEB-UHFFFAOYSA-N";"CCC(=O)Nc1cccc(Nc2ncc(NC(=O)c3cc(NC(=O)c4cccc(c4)C(F)(F)F)ccc3C)cn2)c1";0
"SMR000206655";"AAKUGLDBNILBQK-UHFFFAOYSA-N";"COc1ccc(cc1)N2C(SCC2=O)c3cccc(OC)c3OC";0
"CHEMBL250154";"AAKWBPVWMKFRNF-VFLNYLIXSA-N";"C\C(=N/NC(=S)NCCNc1ccnc2cc(Cl)ccc12)\CC(=O)c3ccc(Cl)c(Cl)c3";0
"CHEMBL2436124";"AALBFEXMHQNKIV-UHFFFAOYSA-N";"CCCCCNCC(O)COc1cc(O)c2C(=O)c3cccc(OC)c3Oc2c1";0
"CHEMBL1170086";"AALHLJWQEACLLK-UHFFFAOYSA-N";"CC(Nc1nc2c(nnn2c3ccsc13)S(=O)(=O)c4ccccc4)c5ccccc5";0
"CHEMBL1083754";"AALHNBNOUAEYHF-UHFFFAOYSA-N";"CNC(=O)Cn1cc(C2CC2)c(Oc3ccc(cc3)C#N)c1C4CC4";0
"CHEMBL2180512";"AALMJZSDFHYBPE-HSZRJFAPSA-N";"CC(C)[C@@H](NC(=O)c1c(C)cccc1C)C(=O)N2CCC(CC2)c3ccc(Cl)cc3";0
"CHEMBL595757";"AALMZTNNZVHOAS-UHFFFAOYSA-N";"COc1ccccc1C(Cc2coc3nc(N)nc(N)c23)C(C)C";0
"CHEMBL7735";"AALNCHNFTKRFEL-UHFFFAOYSA-N";"Oc1ccc2[nH]c(cc2c1)C(=O)c3cc4ccccc4[nH]3";0
"MLS-0240968.0001";"AALPWUGBAOXTOC-UHFFFAOYSA-N";"CCN(CC)CCCNC(=O)CCC(=O)NNc1nc2ccccc2c3nc(C)nn13";0
"CHEMBL3092033";"AALWEEHEAWGIII-UHFFFAOYSA-N";"COc1cc(ccc1Nc2ncc3ccn(c4cccnc4)c3n2)N5CCN(CC5)S(=O)(=O)C";0
"CHEMBL2334782";"AALWXVPCUDHQST-UHFFFAOYSA-N";"O=C(N1C(=O)CC(Sc2ccccc12)c3cccs3)c4ccccc4";0
"CHEMBL179161";"AAMBYTNNYPRBFK-UVTDQMKNSA-N";"Oc1cccc(NC(=O)CCN2C(=S)S\C(=C/c3cccs3)\C2=O)c1";0
"CHEMBL231340";"AAMCCXZHVCUGJS-KEHMHDMQSA-N";"C[C@H]1CN(CCC(C(=O)NCc2cc(cc(c2)C(F)(F)F)C(F)(F)F)c3csc(NC(=O)Cc4ccccn4)n3)CC[C@]15C=Cc6ccccc56";0
"AC1ONHW3";"AAMDCVHRHOUZMA-UHFFFAOYSA-N";"Oc1nc(COC(=O)c2ccc(Cl)s2)nc3ccsc13";0
"CHEMBL2398122";"AAMFNQIXFSURJQ-UHFFFAOYSA-N";"CONC(=O)C1=CCC(N)C1";0
"CHEMBL3260243";"AAMGHFYBPZUVNQ-FPYGCLRLSA-N";"Fc1ccc(\C=C\C(=O)NNC(=O)c2ccc3OCCOc3c2)cc1";0
